"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.045708323E2,4.300195486E1,-7.879081568E1,1.953504028E2,1.606385921E2,1.480000019E0,1.571484375E2,3.221289222E-1,6.026550460E0,8.000000000E0,-1.000000000E0
1.055708418E2,4.300194208E1,-7.879083588E1,1.944998779E2,1.597880851E2,1.480000019E0,1.487109375E2,3.239958478E-1,5.140877935E0,6.000000000E0,-1.000000000E0
1.065708262E2,4.300193445E1,-7.879085633E1,1.909729614E2,1.562611772E2,1.460000038E0,1.350000000E2,3.255367225E-1,3.980521676E0,6.000000000E0,-1.000000000E0
1.075707787E2,4.300193311E1,-7.879087519E1,1.872443237E2,1.525325372E2,1.360000014E0,1.068750000E2,3.267890496E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.085707235E2,4.300193831E1,-7.879088885E1,1.861587524E2,1.514469531E2,1.480000019E0,6.679687500E1,3.282326792E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.095706675E2,4.300194874E1,-7.879089941E1,1.849408569E2,1.502290362E2,1.480000019E0,4.394531250E1,3.298092372E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.105706139E2,4.300196115E1,-7.879090880E1,1.842103882E2,1.494985427E2,1.480000019E0,3.761718750E1,3.312885825E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.115705607E2,4.300197170E1,-7.879089772E1,1.842103884E2,1.494985266E2,1.480000019E0,3.761719506E1,3.328246225E-1,4.596103093E0,3.563758324E0,-1.000000000E0
1.125705079E2,4.300198396E1,-7.879090643E1,1.834162600E2,1.487043739E2,1.480000019E0,3.375000688E1,3.345195787E-1,4.596103098E0,3.563758318E0,-1.000000000E0
1.135704562E2,4.300199825E1,-7.879091369E1,1.825737307E2,1.478618171E2,1.580000043E0,2.777344366E1,3.362990154E-1,4.596103100E0,3.563758315E0,-1.000000000E0
1.145704061E2,4.300201334E1,-7.879092096E1,1.821473391E2,1.474353964E2,1.639999986E0,2.074219236E1,3.379650288E-1,4.596103102E0,3.563758312E0,-1.000000000E0
1.155703583E2,4.300202745E1,-7.879092788E1,1.823625491E2,1.476505792E2,1.639999986E0,1.582031624E1,3.393696215E-1,4.596103104E0,3.563758309E0,-1.000000000E0
1.165703108E2,4.300203961E1,-7.879093255E1,1.819725344E2,1.472605415E2,1.580000043E0,1.546875352E1,3.404855902E-1,4.596103105E0,3.563758308E0,-1.000000000E0
1.175702704E2,4.300204955E1,-7.879093437E1,1.813130495E2,1.466010382E2,1.539999962E0,1.863281662E1,3.415725722E-1,4.596103104E0,3.563758310E0,-1.000000000E0
1.185702283E2,4.300205927E1,-7.879093294E1,1.808367922E2,1.461247637E2,1.539999962E0,2.214844236E1,3.426842209E-1,4.596103100E0,3.563758315E0,-1.000000000E0
1.195701882E2,4.300206899E1,-7.879092970E1,1.806877444E2,1.459756992E2,1.529999971E0,2.531250547E1,3.439323072E-1,4.596103094E0,3.563758323E0,-1.000000000E0
1.205701515E2,4.300207952E1,-7.879092439E1,1.806593630E2,1.459473002E2,1.570000052E0,2.777344362E1,3.451128998E-1,4.596103085E0,3.563758334E0,-1.000000000E0
1.215701166E2,4.300208875E1,-7.879091723E1,1.806953127E2,1.459832350E2,1.529999971E0,3.164063171E1,3.463039340E-1,4.596103075E0,3.563758347E0,-1.000000000E0
1.225700843E2,4.300209612E1,-7.879090660E1,1.807255862E2,1.460134978E2,1.500000000E0,4.007813308E1,3.476741724E-1,4.596103063E0,3.563758363E0,-1.000000000E0
1.235700531E2,4.300209756E1,-7.879088986E1,1.808832400E2,1.461711532E2,1.500000000E0,6.046876092E1,3.494556512E-1,4.596103046E0,3.563758384E0,-1.000000000E0
1.245700252E2,4.300208842E1,-7.879087186E1,1.806863406E2,1.459742748E2,1.529999971E0,9.210938779E1,3.515452726E-1,4.596103030E0,3.563758405E0,-1.000000000E0
1.255699985E2,4.300207225E1,-7.879085879E1,1.807540896E2,1.460420563E2,1.629999995E0,1.226953240E2,3.533452985E-1,4.596103020E0,3.563758419E0,-1.000000000E0
1.265699739E2,4.300205666E1,-7.879085281E1,1.804852297E2,1.457732260E2,1.529999971E0,1.406250081E2,3.551706726E-1,4.596103015E0,3.563758424E0,-1.000000000E0
1.275699508E2,4.300204059E1,-7.879084824E1,1.804486086E2,1.457366351E2,1.559999943E0,1.504687564E2,3.568699418E-1,4.596103014E0,3.563758426E0,-1.000000000E0
1.285699285E2,4.300202552E1,-7.879084475E1,1.802528078E2,1.455408624E2,1.529999971E0,1.567968800E2,3.585317356E-1,4.596103014E0,3.563758426E0,-1.000000000E0
1.295699083E2,4.300201084E1,-7.879084096E1,1.801106570E2,1.453987389E2,1.549999952E0,1.603125044E2,3.601311651E-1,4.596103014E0,3.563758426E0,-1.000000000E0
